ID,Last_Posting_Date,Company,Title,Location,Description,Level,Type,Function,Industry,Link
3245561082,2022-09-01,Lotion Lounge,Data Analyst,"Toronto, Ontario, Canada","The ideal candidate responsibilities include collecting, organizing, extrapolating, interpreting, and reporting data, information, research to people who need it to make important decisions. Skills such as communication, critical thinking, creativity, attention-to-detail, organization, and time management are crucial for success in this role. Candidates must also have a skillful set of computer literacy and disciplines such as Finance, Economics, Mathematics, Statistics, Computer Science, and Information Management to help BES and BES' clients make important decisions by identifying various facts and trends. Typical duties include: using advanced computerized models to extract the data needed. Responsibilities: Analyzing data using statistical techniques Acquiring data from primary and secondary sources and maintain data systems Identifying, analyzing, and interpreting trends or patterns in complex data sets Design, Develop and Implement reports using Power BI in a Commercial Pharmaceutical environment Qualifications: Advanced Analytical Skills Solid T-SQL ad-hoc query coding skills Solid understanding of Relational Database architectures Superior oral and written communication skills Ability to work in a self-motivated, self directed manner within broad parameters Ability to quickly bring others up to speed, to pass on knowledge, skills and responsibilities to a successor and teammates Knowledge of pension administration is a plus Knowledge of structured project management and system development methodologies Ability to act as a Business Analyst and extract, document and analyze data based on feedback from subject matter experts. Quality assurance of procedures / systems from a data perspective including data audits. Required Skills: Math (statistics and probability) Logic and analysis. Relational databases (MySQL) Problem-solving and troubleshooting. Pattern and trend identification. Data mining and data QA. Database design and management. SharePoint and advanced Microsoft Excel functions. Presentation Skills Timeline: Begin no sooner than October 01, 2022 Compensation: $65,000",,Full-time,,,https://ca.linkedin.com/jobs/view/data-analyst-at-lotion-lounge-3245561082?refId=6gIaqxHjYCnzRsD4BLjeTg%3D%3D&trackingId=yRibMvLJvA3rELiGItF0zg%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card
3243267200,2022-09-01,Jerry,Data Analyst,"Toronto, Ontario, Canada","We’d love to hear from you if you are looking for a tech company with the following: Huge market ($2T billion market size), we are building the first AI-powered super app to help people owning a car Innovative product with the combination of cutting edge mobile, AI, and big data technologies Start-up energy - come join one of LinkedIn’s Top 50 Tech Start-ups Hypergrowth - 17x revenue growth in the past two years Best user experience - #1 ranked app in the insurance comparison category Strong leadership - from Amazon, Microsoft, Facebook, Nvidia, Alibaba, etc. and rockstar colleagues About the Opportunity: The Data and Analytics (DNA) team owns data at Jerry and drives intelligent business decision-making through analytical insights and advanced models. The DNA team is seeking a business analyst to build analytical insights and drive business decisions.  As a data analyst, you use data to tell stories and make actionable recommendations to help the business. You will join a team of data engineers, data analysts and data scientists. We are passionate about our mission to build a car ownership super app. We work hard and we also like to have fun. How you will be contributing: Transform and refine raw production data for analytical needs Develop reports, visualization, and business insights using data Perform deep-dive analysis on business opportunities and challenges Partner with other analysts and scientists to build analytical models Who you are: Bachelor’s degree in Mathematics, Statistics, Economics, or a related quantitative discipline Hands-on experience and intermediate knowledge of SQL Excellent communication and problem-solving skills A few more specifics about you:  Master’s degree in Mathematics, Statistics, Economics, or a related quantitative discipline 1+ years of relevant experience in an analytical role Hands-on experience with ETL and data warehouse Knowledge of a modern programming language (Java, Python, etc.) Experience with analytical and visualization platforms (Tableau, Qlik, Power BI, etc.) Strong written communication and data presentation skills",,Full-time,,,https://ca.linkedin.com/jobs/view/data-analyst-at-jerry-3243267200?refId=6gIaqxHjYCnzRsD4BLjeTg%3D%3D&trackingId=MgRTxsthl601NfXWO0nhxA%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card
3243267404,2022-09-01,TechDoQuest,Data Analyst EMR,"Ontario, Canada","Hi Guys, WE DO HAVE AN URGENT HIRING FOR ""Data Analyst - EMR"",where we are looking for candidates who do have 4 to 8 years of experience in Health Care/EMR migration or related field with French speaking skills. Applications are Invited. JOB DESCRIPTION : Need resources with EMR (Electronic Medical Records) experience, basically healthcare domain. Good understanding of Canadian Healthcare system. Flexibility to work Western Canada Timezone   5+ Years of exp in following skills ETL Processes with detailed oriented approach for data migration. Data Transformation scripting Preferable exposure use of macros in excel Extensive experience in mapping source to target of data and function Good to have experience in Health Care/EMR migration. Familiarity with databases like Oracle Scripting (Ex Python), SQL/PLSQL Ability to analyze and resolve data migration related issues. If you are being interested for this position PM (or) kindly drop your resume to <kavya.v@techdoquest.com> #CanadaJobseekers #DataAnalyst #EMR #Healthcare #Sql #Etl #Health Care/EMR",,Contract,,,https://ca.linkedin.com/jobs/view/data-analyst-emr-at-techdoquest-3243267404?refId=6gIaqxHjYCnzRsD4BLjeTg%3D%3D&trackingId=Y0N56ggenPPH0xGnZECfkA%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card
3249057183,2022-09-01,GFL Environmental Inc.,Data Analyst,"Vaughan, Ontario, Canada","GFL Environmental is looking for a Data Analyst to join our team based out of our Vaughan Corporate Office! Reporting to the Finance Business Partner, the Analyst will create and deliver reporting and analysis relating to all aspects of our recycling operations and contracts including commodity marketing. This position will support data analysis is the areas of operational costing as well as commodity sales to have a positive impact profitability. This position will support decision-making at both strategic and tactical levels by creating quantitative analysis complemented with written explanatory reports. Key Responsibilities: Produce timely and relevant operational and commodity revenue analysis and insights for business units across North-America Duties include creation of operational metrics design, cost and revenue modelling, segmentation, trending, pricing, market forecasting and ROI analysis to uncover risks and opportunities Manage and organize large datasets from discrete information sources; support data analysis and reporting initiatives Identify commodity related exposures, recommend pricing and risk management strategies, Communicate relevant commodity market research and analytics to senior management and support sales negotiations Supports data driven decision-making by gathering key information, building reports/ KPIs and making recommendations that help improve business performance Routinely analyzes revenues, markets, operations, customers, competitors and other performance data to identify strategic opportunities, trends and risks Conduct external industry research and write reports as required -combine external research (industry news, commodity market trends, economic indicators) with internal knowledge to generate new insights about market trends Assists with the research and analysis of key business opportunities in both domestic and foreign markets via weekly communication meetings Knowledge, Skills and Competencies: 2-4 years of experience in a market analyst or supply chain analyst role Direct experience with databases, research, materials packaging, supply chain logistics or environmental sustainability projects preferred Strong business acumen and solid analytical, financial modelling skills Knowledge of commodity markets, costing, financial accounting and economics High level of detail orientation and focus on data accuracy Self-starter, self-managed and high level of organization Very strong communication skills and customer and process-orientation Agility to work in a fast-paced environment Able to juggle multiple projects and pivot based on changes in priorities Sales, market development, planning experience an asset Undergraduate degree in business, economics, analytics or related discipline Strong organizational, planning and prioritization skills Strong communication, negotiating and presentation skills Advanced financial modeling skills and effective communications Broad knowledge and understanding of data processes, operational processes, ERP and BI concepts We thank you for your interest. Only those selected for an interview will be contacted. GFL Environmental is an equal opportunity employer and encourages women, Aboriginal people, persons with disabilities and members of visible minorities to apply. We seek to hire individuals with diverse characteristics, backgrounds and perspectives. We strongly believe that world-class talent makes no distinctions based on gender, ethnic or national origin, sexual identity and orientation, age, religion or disability, but enriches itself through these differences. GFL will provide accommodations to job applicants with disabilities throughout the recruitment process. If you require an accommodation, please notify us and we will work with you to meet your needs.",Mid-Senior level,Full-time,Human Resources and Analyst,Environmental Services,https://ca.linkedin.com/jobs/view/data-analyst-at-gfl-environmental-inc-3249057183?refId=6gIaqxHjYCnzRsD4BLjeTg%3D%3D&trackingId=kDpbhYdTWyWyl7dbSynBZg%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card
3249058122,2022-09-01,GFL Environmental Inc.,Data Analyst,"Montreal, Quebec, Canada","GFL Environmental is looking for a Data Analyst to join our team based out of Montreal! Reporting to the Finance Business Partner, the Analyst will create and deliver reporting and analysis relating to all aspects of our recycling operations and contracts including commodity marketing. This position will support data analysis is the areas of operational costing as well as commodity sales to have a positive impact profitability. This position will support decision-making at both strategic and tactical levels by creating quantitative analysis complemented with written explanatory reports. Key Responsibilities: Produce timely and relevant operational and commodity revenue analysis and insights for business units across North-America Duties include creation of operational metrics design, cost and revenue modelling, segmentation, trending, pricing, market forecasting and ROI analysis to uncover risks and opportunities Manage and organize large datasets from discrete information sources; support data analysis and reporting initiatives Identify commodity related exposures, recommend pricing and risk management strategies, Communicate relevant commodity market research and analytics to senior management and support sales negotiations Supports data driven decision-making by gathering key information, building reports/ KPIs and making recommendations that help improve business performance Routinely analyzes revenues, markets, operations, customers, competitors and other performance data to identify strategic opportunities, trends and risks Conduct external industry research and write reports as required -combine external research (industry news, commodity market trends, economic indicators) with internal knowledge to generate new insights about market trends Assists with the research and analysis of key business opportunities in both domestic and foreign markets via weekly communication meetings Knowledge, Skills and Competencies: 2-4 years of experience in a market analyst or supply chain analyst role Direct experience with databases, research, materials packaging, supply chain logistics or environmental sustainability projects preferred Strong business acumen and solid analytical, financial modelling skills Knowledge of commodity markets, costing, financial accounting and economics High level of detail orientation and focus on data accuracy Self-starter, self-managed and high level of organization Very strong communication skills and customer and process-orientation Agility to work in a fast-paced environment Able to juggle multiple projects and pivot based on changes in priorities Sales, market development, planning experience an asset Undergraduate degree in business, economics, analytics or related discipline Strong organizational, planning and prioritization skills Strong communication, negotiating and presentation skills Advanced financial modeling skills and effective communications Broad knowledge and understanding of data processes, operational processes, ERP and BI concepts We thank you for your interest. Only those selected for an interview will be contacted. GFL Environmental is an equal opportunity employer and encourages women, Aboriginal people, persons with disabilities and members of visible minorities to apply. We seek to hire individuals with diverse characteristics, backgrounds and perspectives. We strongly believe that world-class talent makes no distinctions based on gender, ethnic or national origin, sexual identity and orientation, age, religion or disability, but enriches itself through these differences. GFL will provide accommodations to job applicants with disabilities throughout the recruitment process. If you require an accommodation, please notify us and we will work with you to meet your needs.",Mid-Senior level,Full-time,Information Technology,Environmental Services,https://ca.linkedin.com/jobs/view/data-analyst-at-gfl-environmental-inc-3249058122?refId=6gIaqxHjYCnzRsD4BLjeTg%3D%3D&trackingId=fQToMIvYu3Bxh49gtq2rMw%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card
3247400560,2022-08-31,MindGeek,Data Analyst,"Montreal, Quebec, Canada","The Data Analyst in the Business Analytics Department acts as an expert in leveraging data to identify, create, and communicate strategy with products, analysts, clients, and upper management. What You'll Be Doing Client Management: Communicating and understanding client requests to help develop custom data solutions Data Management: Exploring databases to leverage relevant information to optimize processes and build strategy Project Management: Working with your teammates to prioritize and deliver important milestones and deliverables to clients Analysis: Use data and build models to help solve problems using analytical and/or numerical methodologies Reporting: Create custom reports for clients to help aid in their day-to-day and give them the power to make informed and data-driven decisions Creating: Participate in weekly brainstorming meetings to identify pain points and build strategy to improve all facets of the company Communication: Develop and maintain the ability to communicate complex data issues to various teams including product managers, engineers, and upper management Must Haves What you'll need to be successful: Bachelors In Statistics, Finance, Computer Science, or other analytical field At least 1 year in similar analytical role Strong proficiency in Microsoft Excel and SQL Data modeling, client management, analytics, business savviness Nice To Haves Ability to think analytically Ability to summarize complex solutions to any type of client Comfortable manipulating large amounts of data Organized and unable to miss a deadline Curious and willing to constantly expand your knowledge Willing to take an active role in a fast-growing team Passionate about what you do and constantly motivated Positive and excited to face new challenges Previous experience in E-commerce R/Python, Power BI/Tableau, DAX As an equal opportunity employer, we celebrate diversity and are committed to creating an inclusive environment for all employees In this role you may be exposed to adult content",Entry level,Full-time,Information Technology,"Technology, Information and Internet",https://ca.linkedin.com/jobs/view/data-analyst-at-mindgeek-3247400560?refId=6gIaqxHjYCnzRsD4BLjeTg%3D%3D&trackingId=mbh2GwNK6Owfelpdkz5vXA%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card
3247085723,2022-09-01,EPCOR,Data Analyst,"Edmonton, Alberta, Canada","Highlights of the job We are hiring one (1) Full-Time Temporary (up to 11 months) Data Analysts working out of Edmonton, AB! We are looking for an analytical, hard-working individual who has advanced skills in Microsoft Excel.  The Data Analyst, Customer Care, is accountable for developing forecasts and schedules, implementing the numerical basis of Customer Care budgets and required management reporting. Using knowledge about the fundamental operational requirements of the area, the Data Analyst will analyze the relevant data and develop recommendations and provides business insights for management to consider and action regarding workforce planning, operations management, and strategy development.  The Data Analyst will acquire and analyze external business factors, together with data from our systems, and review statistical trends to ensure that Customer Care operates in the most effective and efficient manner possible with time spans of 1 to 12 months. The Data Analyst, Customer Care, is accountable to the Manager, Workforce Planning, and operates within the context and prescribed limits established by the Manager. What you’d be responsible for Providing input to Customer Care’s plans and directions, ensuring an appropriate understanding of the EPCOR’s Customer Care’ strategy throughout operations and ensure on-going effective and appropriate relationships between other positions in Customer Care and the company. Ensuring the delivery of optimal results against appropriate performance metrics. Key measures will be focused on operational effectiveness and efficiency outcomes such as budget, productivity and reliability, and continuous improvement. Preparing, evaluating and documenting inputs into Customer Care’s operational budgets as well as associated variance reporting. This includes owning the models necessary to produce the required information. Analyzing and evaluating current trends impacting Customer Care to provide recommendations on enhancements to the deployment of workload and/or resources. This includes gathering relevant industry benchmarks to allow for meaningful comparisons and making recommendations to management and in some cases lead the implementation of the recommendations. Reviewing data collection and reporting methods and practices in Customer Care to identify gaps in the data being collected and make recommendations regarding the relevance of the data collected and utilized for analysis and reporting purposes. Aiding in the development of performance metrics and measurements for various aspects and drivers in Customer Care. Representing Customer Care in projects and initiatives that require analytical experience and knowledge of Customer Care’ operations. Ensuring optimal deliverables through effective cross-functional accountability within Workforce Planning Manager’s context and prescribed limits. Identifying, establishing and maintaining working relationships with stakeholders in  Customer Care and within Energy Services. Reviewing and monitoring operational requirements for analytic support and ensuring that all deliverables are complete within established timelines. This includes the delegation of work to other employees and oversight over their quality of work. Demonstrating a high performance, high discipline, safe, accountable, focused, innovative and achievement-oriented, easy to do business with manner of working. What’s required to be successful University Degree at a bachelor’s level in a business related field such as economics, statistics, accounting, finance, computing sciences or engineering is required. Minimum 2 years demonstrated analytical skills in a business environment is required. Experience working in a workforce / business operations capacity. Strong skills in data analysis, forecasting and performance measurement. Strong operational/financial budgeting skills. Proficient knowledge of Microsoft Word, Excel and Access, or similar software, is essential. Experience in a utility environment is preferred, but not essential. Strong written, verbal and interpersonal communication skills. Demonstrated organizational and time-management skills. Ability to work in a multi-stakeholder and dynamic work environment. Takes initiative to solve problems, and to find and implement innovative ideas. Possess strong business acumen in a Customer Service environment to earn credibility and respect among stakeholders. High concern for accuracy and quality as evidenced by superior work quality of output and deliverables. Strong collaborative ability to work across multiple levels of management. Other important facts about this job Jurisdiction: CSU52; Class: P1 Wage: $43.00 to $51.26 per hour (Final Wage and Step will be determined at the time of selection and is based on a combination of factors as outlined in the CA that may be found online.) Hours of work: 80 hours biweekly Application Deadline: September 15, 2022. Internal applicants, please ensure that you are using your “@epcor.com” email address.  Learn more about Working at EPCOR! Follow us on LinkedIn, Twitter, Glassdoor or Facebook! Please note the following information: A requirement of working for EPCOR is that you are at least 18 years of age and legally entitled to work in Canada. (A copy of a valid work permit may be required.) If you are considered for the position, clearance on all applicable background checks (which may include criminal, identity, educational, and/or credit) and professional reference checks is required. Some EPCOR positions require an enhanced level of background assessment, which is dictated by law. These positions require advanced criminal record checks that must also be conducted from time to time after commencement of employment. A technical/practical assessment may be administered during the selection process and this exercise will be used as a part of the selection criterion. To meet the physical demands required of some positions, candidates must be in good physical condition and willing to work in all weather conditions. Clearance on pre-placement medical and drug and alcohol testing may be required.  Follow us on LinkedIn, Twitter or Facebook!",Not Applicable,Full-time,Customer Service,Utilities,https://ca.linkedin.com/jobs/view/data-analyst-at-epcor-3247085723?refId=6gIaqxHjYCnzRsD4BLjeTg%3D%3D&trackingId=9COekaRFioy8OqWs1yVKbg%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card
3247426415,2022-08-31,Cohere,Data Analyst,"Toronto, Ontario, Canada","Who are we? We’re a small, diverse team working at the cutting edge of machine learning. At Cohere, our mission is to build machines that understand the world and to make them safely accessible to all. Language is at the crux of this, but it can be difficult and expensive to parse the syntax, semantics, and context that all work together to give words meaning. The Cohere platform provides access to Large Language Models through its APIs that read billions of web pages and learn to understand the meaning, sentiment, and intent of the words we use in a richness never seen before. We recently raised our Series B , signed a multi-year partnership with Google Cloud , and we are focused on bringing our technology to market. We will partner with customers so they can build natural language understanding and generation into their products with just a few lines of code. We’re ambitious — we believe our technology will fundamentally transform how industries interact with natural language. And we have the technical chops to back it up - Cohere’s CEO, Aidan Gomez, is a co-author of the groundbreaking paper “Attention is all you need” , (over 23k citations) and was previously part of Google Brain. Our entire technical team is world-class. We are focused on creating a diverse and inclusive work environment so that all of our team members can thrive. We welcome kind and brilliant people to our team, from wherever they come. The Data Analyst will sit at the intersection of engineering, product, and business development, working with our Engineering and Product teams to build out reporting & monitoring tools, and alerts. Note: While this role will interface with applied research, it is not a researcher role. Ideal candidates will be excited about the opportunity to work in a high-impact, multidisciplinary technical product role. As a Data Analyst, you will: Maintain and build dashboards important to Cohere’s business function Maintain and debug LookML code, build user-friendly explores, design robous models, and define robust caching policies Build self-serve documentation enabling non-SQL professionals to explore and create their own dashboards Work closely with the platform team to recommend table structures, caching etc. Build query alerts to notify the right feature teams of trend anomalies You may be a good fit, if you have: Strong SQL expertise Proficiency with Python Experience with Looker query builder, Looker SQL generator, LookML models and views Strong communication and problem-solving skills A demonstrated passion for applied NLP If some of the above doesn’t line up perfectly with your experience, we still encourage you to apply! If you consider yourself a thoughtful worker, a lifelong learner, and a kind and playful team member, Cohere is the place for you. We welcome applicants of all kinds and are committed to providing both an equal opportunity process and work environment. We value and celebrate diversity and strive to create an inclusive work environment for all. Our Perks: ?? An open and inclusive culture and work environment ????? Work closely with a team on the cutting edge of AI research ?? Free daily lunch ?? Full health and dental benefits, including a separate budget to take care of your mental health ?? 100% Parental Leave top-up for 6 months for employees based in Canada, the US, and the UK ?? Personal enrichment benefits towards arts and culture, fitness and well-being, quality time, and workspace improvement ?? Remote-flexible, offices in Toronto, Palo Alto, and London and coworking stipend ?? 6 weeks of vacation and shared Canada/US/UK holidays",Entry level,Full-time,Information Technology,Software Development,https://ca.linkedin.com/jobs/view/data-analyst-at-cohere-3247426415?refId=6gIaqxHjYCnzRsD4BLjeTg%3D%3D&trackingId=xydUCiIa6G1576Dt92H%2FHQ%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card
3247308242,2022-09-01,Apex Systems,Data Analyst,"Mississauga, Ontario, Canada","Job#: 1290159 Job Description: Data Analyst Apex Systems is a global IT services provider, and our staffing practice has an opening for a Data Analyst with a strong enterprise digital retail background, the ability to manage KPI Metrics Analysis with visual analytic reporting and SQL/Tableau experience to place at our client, a major international retailer. Client: Major International Retailer Terms: 6 Month Contract. Location: Remote/Hybrid – Mississauga or Downtown Toronto Application Process: It is best to apply via the medium on which you are seeing this posting. If you encounter technical difficulties submitting your resume, please send a Word version of your resume to Cameron at clinke@apexsystems.com . Please reference, #. Job Description: We are seeking an experienced data analyst to define standard reports for the Customer Engagement domain. These reports will summarize KPIs for Customer Care, Digital Marketing & Advertising on the retail website and Mobile app. The problem is that reports are ad-hoc and captured in multiple Excel documents making it difficult for the product team to gather and share insights. The objective is to collect data requirements from product managers and collaboratively define a data dashboard template that will show actuals, performance vs. target, and year over year performance. Key Qualifications: 4-5 years’ experience, preferably within digital team of a large enterprise. MS Suite - Especially good hands-on experience with Excel. Able to develop different data models. Good with creating Data Dashboard, KPI Metrics Analysis . Platforms used will be Tableau, Power BI. The candidate should be experienced with web analytics tools such as Adobe Analytics, Google Analytics, and Google Ads, as well as mobile app tools such as Google Firebase and Urban Airship. They should also be comfortable extracting data by querying back-end databases (SQL, GCP), and collaborating with business intelligence (BI) analyst for implementation of the reporting templates in a Tableau or Google Looker dashboard. Understanding of ETL process. Good understanding of SQL. Interview Process: Interviews will take place in two rounds through the following week. This a great opportunity to join a leading household brand and continue your career in the ecommerce domain. Be a part of a great work environment with a very well-organized team and colleagues who will help you succeed. This is a position that impacts the business enterprise wide with great opportunity for career growth within the business. If you are not a 99% match to the above, and want to be considered for other opportunities at our enterprise clients, register for our Talent Network where you can receive job alerts about new opportunities that match your interests. Click here to Register for our Talent Network EEO Employer Apex Systems is an equal opportunity employer. We do not discriminate or allow discrimination on the basis of race, color, religion, creed, sex (including pregnancy, childbirth, breastfeeding, or related medical conditions), age, sexual orientation, gender identity, national origin, ancestry, citizenship, genetic information, registered domestic partner status, marital status, disability, status as a crime victim, protected veteran status, political affiliation, union membership, or any other characteristic protected by law. Apex will consider qualified applicants with criminal histories in a manner consistent with the requirements of applicable law. If you have visited our website in search of information on employment opportunities or to apply for a position, and you require an accommodation in using our website for a search or application, please contact our Employee Services Department at employeeservices@apexsystems.com or 844-463-6178. 4400 Cox Road Suite 200 Glen Allen, Virginia 23060 Apex Systems is an equal opportunity employer. We do not discriminate or allow discrimination on the basis of race, color, religion, creed, sex (including pregnancy, childbirth, breastfeeding, or related medical conditions), age, sexual orientation, gender identity, national origin, ancestry, citizenship, genetic information, registered domestic partner status, marital status, disability, status as a crime victim, protected veteran status, political affiliation, union membership, or any other characteristic protected by law. Apex will consider qualified applicants with criminal histories in a manner consistent with the requirements of applicable law. If you have visited our website in search of information on employment opportunities or to apply for a position, and you require an accommodation in using our website for a search or application, please contact our Employee Services Department at employeeservices@apexsystems.com (Do not submit resumes or solicit consultants to this email address). Join our Talent Network! UnitedHealthcare creates and publishes the Transparency in Coverage Machine-Readable Files on behalf of Apex Systems.",Entry level,Contract,Information Technology,Staffing and Recruiting,https://ca.linkedin.com/jobs/view/data-analyst-at-apex-systems-3247308242?refId=6gIaqxHjYCnzRsD4BLjeTg%3D%3D&trackingId=stO%2FYGytJS04GYFSvzDBGw%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card
3205953720,2022-09-01,MCAP,Data Analyst,"Toronto, Ontario, Canada","MCAP at a Glance Joining MCAP means you will be a part of our diverse workforce of highly talented individuals who are recognized for their expertise and success! At MCAP, your professional expertise, commitment to teamwork and passion for service excellence are recognized and rewarded with competitive total rewards offering, a career with continuous learning and development (formal & informal training), and exciting opportunities in a dynamic, entrepreneurial environment. The Role This position is responsible for acting as a Capital Markets’ data analyst and subject matter expert on reporting deliverables. By having a comprehensive understanding on Capital Markets’ processes and policies, and with knowledge of all other aspects of the complete reporting cycle within CM, this role implements through technical know-how to ensure all ongoing initiatives are championed to benefit Capital Markets processes. This role will work with other business units as required to consolidate and deliver requirements. Build data pipelines to support complex reporting structures and process flows that support daily trades, hedging processes, operations, and management reports KEY RESPONSIBILITIES: Assist enterprise level projects teams with user testing and analyzing large scale data output validating data accuracy, timeliness and resulting output Produce business ability to draw out insights from analytical output and work with team leads to generate business recommendations Automate recurring tasks to free up capacity and find efficient ways of developing streamlined / self-service dashboards and reporting Support analytic work through the entire engagement life cycle including requirements specification, analysis, design, development, implementation and consulting efforts. Develop and monitor Key Performance Indicators (KPI) or Key Risk Indicators (KRI) that adhere to capturing performances on daily trades, system issues, pipeline delays and other ad-hoc processes. Manage stakeholders, reporting on progress and incorporating new input: managing expectations, driving agreement on prioritization/sequencing, shaping the data requirements Assist IT architect lead(s) design and implement all requests, not limited to user access management, database designs, server management and data inventory. Leverage internal and external training peers and other sources to continue to grow capabilities Technical Knowledge Bachelor’s degree in a quantitative discipline or equivalent work experience Knowledge of handling, manipulating and analyzing data and creating analytical reports using leading analytical and visualization tools (i.e. R, Python, Tableau or PowerBI, Alteryx) Good working knowledge of basic data warehousing concepts Superior communication and writing skills and the ability to effectively package and present information to business leaders Ability to deal with ambiguity, organize and accomplish objectives independently and proactively Strong project management skills, knowledge of change management strategies and ability to develop supporting tools and materials Working knowledge on Excel, Access and VBA Strong influencing and negotiating skills Curious and growth mindset Previous knowledge and/or experience automating processes Knowledge on MS SQL Server building complex functions, stored procedures, and views Experience working in the mortgage industry, finance and/or consulting What You Bring To The Team Superior attention to detail and strong analytical skills Excellent verbal, and written communication skills with all levels of the organization. Must have strong, time management and organization skills Must be comfortable taking minimal direction from managers to action requirements Must be proficient in MS applications (Microsoft Outlook, Word and Excel) and VBA Must be proficient with database applications including T-SQL; knowledge of No-SQL is an asset. Knowledge Business Intelligence tools such as PowerBI or Tableau is an asset Basic programming skills in Python or R is an asset Ability to multi-task in a fast-paced environment Ability to pull resources together to meet deadlines Ability to work effectively in a diverse work group Excellent problem-solving and conflict resolution skills Excellent planning and project management skills Carries out duties with integrity and takes ownership for deliverables 2-3 years’ experience in finance or mortgage industry Knowledge of MCAP’s servicing system and origination system is an asset University Degree in Computer Science, Math or Business",Associate,Full-time,Engineering and Information Technology,"Banking, Financial Services, and Real Estate",https://ca.linkedin.com/jobs/view/data-analyst-at-mcap-3205953720?refId=6gIaqxHjYCnzRsD4BLjeTg%3D%3D&trackingId=H6YGLgha7J%2F3pUiG5Vl%2Fgg%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card
